catalogNumber,createdBy,placeName,flagNotes,createdOn,associatedMedia,locationLat,locationLon,fromDate,rank,scientificName,commonName,higherClassificationId,state,observedInMonth
16839488,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/6d4678ee-60c9-419c-8f6e-1e8ee4c07309/6e84ef6590214fac919b2f4c0287f7fe.JPG,11.3230383,79.2433528,26/12/2017,species,Ariadne merione Cramer 1779,Common Castor:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Ariadne#rank:genus#taxonID:160508 | name:Ariadne merione Cramer 1779#rank:species#taxonID:160510,TAMILNADU,December
16839477,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/4bbd782a-1a13-46bc-8b0d-70834c06bf22/6a415694f73346049e3d27d4f682e3c4.jpg,11.3230383,79.2433528,28/04/2018,species,Lethe atkinsonia Hewitson 1876,Anomalous Nawab:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Lethe#rank:genus#taxonID:71658 | name:Lethe atkinsonia Hewitson 1876#rank:species#taxonID:71723,TAMILNADU,April
16839466,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/6299f73d-3750-4153-802a-e2b30a3f52c5/7104e5a4a9454d408a026c6dbeb57f30.jpg,11.3230383,79.2433528,21/11/2018,species,Pachliopta aristolochiae (Fabricius 1775),Common Rose:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Papilionidae#rank:family#taxonID:72216 | name:Pachliopta#rank:genus#taxonID:72428 | name:Pachliopta aristolochiae (Fabricius 1775)#rank:species#taxonID:72430,TAMILNADU,November
16839455,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/a644db5d-84b7-4351-ae5f-1891e23814b3/7a5694a90a264cd6be106d1115d29f84.jpg,11.3230383,79.2433528,22/12/2018,species,Hypolimnas misippus Linnaeus 1764,Danaid eggfly:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Hypolimnas#rank:genus#taxonID:71533 | name:Hypolimnas misippus Linnaeus 1764#rank:species#taxonID:71538,TAMILNADU,December
16839434,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/fd02a3a3-4e04-468f-bbfe-faef36cfe784/cf8dbcb3cece436ca7976cd08b94dec6.JPG,11.3230383,79.2433528,13/01/2018,species,Cepora nerissa (Fabricius 1775),Common Gull:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Pieridae#rank:family#taxonID:71754 | name:Cepora#rank:genus#taxonID:71820 | name:Cepora nerissa (Fabricius 1775)#rank:species#taxonID:71825,TAMILNADU,January
16839423,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/0910735c-5696-4fa7-98da-8c86a698934c/9f3f707612b24410ac2c9c7ce4758ed4.JPG,11.3230383,79.2433528,26/12/2017,species,Papilio demoleus Linnaeus 1758,Lime Swallowtail:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Papilionidae#rank:family#taxonID:72216 | name:Papilio#rank:genus#taxonID:72270 | name:Papilio demoleus Linnaeus 1758#rank:species#taxonID:72338,TAMILNADU,December
16839412,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/02923989-c604-454b-9e28-c970c7c77a08/f1c2972adf6d4eb381c3f87f958c9494.JPG,11.3230383,79.2433528,09/08/2017,species,Papilio demoleus Linnaeus 1758,Lime Swallowtail:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Papilionidae#rank:family#taxonID:72216 | name:Papilio#rank:genus#taxonID:72270 | name:Papilio demoleus Linnaeus 1758#rank:species#taxonID:72338,TAMILNADU,August
16839390,Rajat Patel,"P29Q+C8 Tejlav, Gujarat, India",,30/09/2021,/6f8a9c30-6036-434f-b253-1b4cc63a4dad/00281bd271df4c70b9a16b045387e239.jpg,20.7186,73.0383,09/11/2020,species,Papilio polytes Linnaeus 1758,Common Mormon:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Papilionidae#rank:family#taxonID:72216 | name:Papilio#rank:genus#taxonID:72270 | name:Papilio polytes Linnaeus 1758#rank:species#taxonID:72341,,November
16839379,Elavarasan M,"Marungoor, தமிழ்நாடு 621719",,30/09/2021,/218966ae-da7f-401a-8791-7dcd2c5670d0/9086039c0c22463085ae2986a39adddc.jpg,11.3230383,79.2433528,08/08/2017,species,Danaus chrysippus Linnaeus 1758,Plain Tiger:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Papilionoidea#rank:superfamily#taxonID:276610 | name:Nymphalidae#rank:family#taxonID:70967 | name:Danaus#rank:genus#taxonID:160500 | name:Anosia#rank:subgenus#taxonID:279925 | name:Danaus chrysippus Linnaeus 1758#rank:species#taxonID:160505,TAMILNADU,August
16839368,Sumit Joshi,"Uttaranchal Colony, Kichha, Uttarakhand 263148",,30/09/2021,/433951d2-ba98-42e5-b83a-e7220b2fd1f0/aff19f387bdf43ceadec1e6bec894b8f.JPG,28.9154729,79.513269,31/08/2021,species,Udaspes folus Cramer 1775,Grass Demon:English,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Arthropoda#rank:phylum#taxonID:874 | name:Insecta#rank:class#taxonID:876 | name:Lepidoptera#rank:order#taxonID:70513 | name:Hesperioidea#rank:superfamily#taxonID:276611 | name:Hesperiidae#rank:family#taxonID:72455 | name:Udaspes#rank:genus#taxonID:72579 | name:Udaspes folus Cramer 1775#rank:species#taxonID:72581,,September
